Size,Key Comparisons,Time Taken (seconds)
1000,13156,0.000000
101000,2419443,0.010000
201000,5002369,0.022000
301000,6853429,0.034000
401000,10371204,0.043000
501000,11126637,0.056000
601000,14271607,0.070000
701000,17728390,0.076000
801000,21497122,0.090000
901000,20200025,0.101000
1001000,23219364,0.116000
1101000,26393622,0.122000
1201000,29723531,0.133000
1301000,33221471,0.144000
1401000,36846655,0.157000
1501000,40617642,0.170000
1601000,44569904,0.185000
1701000,39147586,0.191000
1801000,42151687,0.202000
1901000,45243620,0.210000
2001000,48409544,0.222000
2101000,51650848,0.234000
2201000,54948661,0.244000
2301000,58345646,0.261000
2401000,61803864,0.276000
2501000,65349984,0.285000
2601000,68971904,0.291000
2701000,72684392,0.311000
2801000,76432074,0.317000
2901000,80290419,0.334000
3001000,84221592,0.341000
3101000,88187568,0.354000
3201000,92273809,0.368000
3301000,89665311,0.380000
3401000,81671809,0.383000
3501000,84742953,0.395000
3601000,87882808,0.409000
3701000,91059277,0.421000
3801000,94241434,0.428000
3901000,97484638,0.442000
4001000,100774811,0.453000
4101000,104097063,0.465000
4201000,107429887,0.499000
4301000,110839085,0.489000
4401000,114254763,0.508000
4501000,117742489,0.518000
4601000,121232500,0.529000
4701000,124820714,0.537000
4801000,128359083,0.555000
4901000,132009777,0.589000
5001000,135654448,0.582000
5101000,139326482,0.600000
5201000,143080393,0.615000
5301000,146875266,0.640000
5401000,150659066,0.666000
5501000,154492112,0.651000
5601000,158424763,0.674000
5701000,162352191,0.915000
5801000,166330606,1.082000
5901000,170317144,1.049000
6001000,174395146,1.153000
6101000,178490566,1.142000
6201000,182561159,1.103000
6301000,186710701,1.136000
6401000,190934135,1.152000
6501000,195164557,1.332000
6601000,186182400,1.355000
6701000,166958640,1.209000
6801000,170111706,1.164000
6901000,173330645,1.248000
7001000,176481637,1.243000
7101000,179719970,1.358000
7201000,182937688,1.279000
7301000,186198600,1.341000
7401000,189470940,1.336000
7501000,192755095,1.367000
7601000,196066361,1.370000
7701000,199410821,1.429000
7801000,202744440,1.441000
7901000,206099125,1.438000
8001000,209527071,1.447000
8101000,212894935,1.481000
8201000,216351894,1.497000
8301000,219807989,1.545000
8401000,223250142,1.528000
8501000,226746975,1.549000
8601000,230231349,1.588000
8701000,233767084,1.615000
8801000,237341633,1.616000
8901000,240850241,1.671000
9001000,244451801,1.705000
9101000,248041342,1.654000
9201000,251653703,1.655000
9301000,255325739,1.640000
9401000,258936875,1.679000
9501000,262645122,1.670000
9601000,266306617,1.743000
9701000,270020746,1.780000
9801000,273769318,1.800000
9901000,277540762,1.929000
