Threshold,Key Comparisons,Time Taken (seconds)
1,105049729,0.895000
2,105047769,0.764000
3,105049629,0.690000
4,105109829,0.669000
5,105551792,0.619000
6,105555460,0.618000
7,105554265,0.627000
8,105551918,0.624000
9,106573473,0.605000
10,108210788,0.572000
11,108210947,0.575000
12,108207123,0.574000
13,108206891,0.578000
14,108202343,0.577000
15,108213303,0.584000
16,108208815,0.582000
17,108212185,0.576000
18,108208334,0.584000
19,115493585,0.566000
20,116162776,0.553000
21,116156964,0.556000
22,116165260,0.552000
23,116150348,0.552000
24,116162945,0.555000
25,116164704,0.559000
26,116148968,0.559000
27,116153309,0.556000
28,116154626,0.556000
29,116149825,0.554000
30,116152486,0.551000
31,116142916,0.557000
32,116150451,0.553000
33,116158697,0.549000
34,116157317,0.558000
35,116160420,0.550000
36,116148735,0.549000
37,116160754,0.555000
38,132595517,0.549000
39,135638270,0.553000
40,135611286,0.557000
41,135603315,0.556000
42,135633294,0.554000
43,135622037,0.549000
44,135635794,0.553000
45,135605279,0.562000
46,135609335,0.553000
47,135628413,0.552000
48,135633556,0.557000
49,135614142,0.554000
50,135637381,0.552000
51,135614917,0.552000
52,135617054,0.555000
53,135614017,0.550000
54,135607005,0.550000
55,135622489,0.556000
56,135631933,0.552000
57,135619105,0.550000
58,135605873,0.549000
59,135624472,0.555000
60,135647688,0.550000
61,135606107,0.553000
62,135630385,0.556000
63,135645951,0.555000
64,135620421,0.553000
65,135643603,0.555000
66,135641295,0.558000
67,135633088,0.557000
68,135635566,0.554000
69,135641068,0.559000
70,135614346,0.551000
71,135631780,0.554000
72,135601472,0.550000
73,135629080,0.556000
74,135609665,0.553000
75,135634588,0.549000
76,165758348,0.579000
77,178673704,0.582000
78,178641334,0.585000
79,178652350,0.584000
80,178626783,0.599000
81,178669435,0.584000
82,178657283,0.586000
83,178629617,0.588000
84,178691691,0.585000
85,178641430,0.587000
86,178661966,0.583000
87,178678530,0.584000
88,178689222,0.586000
89,178616999,0.582000
90,178688692,0.582000
91,178634694,0.579000
92,178664332,0.580000
93,178666414,0.584000
94,178660129,0.585000
95,178636266,0.583000
96,178636815,0.584000
97,178623981,0.584000
98,178672556,0.586000
99,178654596,0.580000
100,178647179,0.585000
