Threshold,Key Comparisons,Time Taken (seconds)
1,18673960,0.179
2,18674012,0.144
3,18673398,0.141
4,18726224,0.132
5,18726842,0.126
6,18728097,0.131
7,18821412,0.123
8,19072692,0.114
9,19072856,0.117
10,19071599,0.118
11,19071886,0.116
12,19073394,0.115
13,19073570,0.112
14,19075962,0.116
15,19886177,0.111
16,20223343,0.104
17,20224772,0.106
18,20225206,0.104
19,20222576,0.106
20,20224636,0.105
21,20224558,0.103
22,20221748,0.103
23,20221397,0.104
24,20222293,0.103
25,20224959,0.104
26,20223565,0.104
27,20223878,0.102
28,20224869,0.106
29,20221792,0.103
30,21596793,0.104
31,23186650,0.101
32,23185545,0.103
33,23189467,0.102
34,23177333,0.101
35,23186632,0.1
36,23186010,0.101
37,23185974,0.104
38,23179644,0.103
39,23191791,0.101
40,23184964,0.103
41,23190196,0.101
42,23184161,0.104
43,23192863,0.101
44,23187725,0.106
45,23186226,0.107
46,23184749,0.102
47,23177984,0.103
48,23191744,0.103
49,23183689,0.104
50,23185605,0.103
51,23182914,0.103
52,23180568,0.101
53,23184396,0.101
54,23179806,0.1
55,23192828,0.102
56,23187543,0.101
57,23185847,0.102
58,23177749,0.103
59,23174018,0.104
60,23179715,0.107
61,29651937,0.108
62,29903709,0.108
63,29893914,0.106
64,29897616,0.107
65,29877629,0.106
66,29890478,0.107
67,29874194,0.106
68,29906735,0.105
69,29899453,0.104
70,29891550,0.106
71,29912385,0.104
72,29906687,0.104
73,29893629,0.107
74,29896446,0.109
75,29905278,0.105
76,29911387,0.107
77,29893892,0.107
78,29895218,0.106
79,29899983,0.106
80,29906628,0.105
81,29900990,0.108
82,29901387,0.107
83,29888598,0.104
84,29889988,0.107
85,29901899,0.109
86,29903251,0.109
87,29897653,0.107
88,29892628,0.106
89,29896951,0.105
90,29906695,0.107
91,29900161,0.105
92,29896652,0.106
93,29907294,0.103
94,29907168,0.106
95,29902444,0.107
96,29890537,0.105
97,29890544,0.106
98,29898791,0.106
99,29890950,0.107
100,29878003,0.105
