Size,Hybrid Key Comparisons,Hybrid Time Taken (seconds),Original Key Comparisons,Original Time Taken (seconds)
1000,13517,0.000000,8706,0.001000
101000,1888696,0.010000,1553105,0.018000
201000,3950649,0.021000,3290547,0.033000
301000,6007830,0.033000,5102843,0.052000
401000,8280928,0.041000,6963888,0.069000
501000,11122415,0.055000,8856152,0.083000
601000,12724610,0.065000,10788907,0.114000
701000,14610384,0.084000,12743063,0.123000
801000,17323432,0.088000,14710647,0.141000
901000,20195115,0.099000,16699310,0.159000
1001000,23218256,0.115000,18694399,0.180000
1101000,26398712,0.128000,20715820,0.194000
1201000,26750437,0.133000,22759946,0.203000
1301000,27892898,0.142000,24806625,0.222000
1401000,30593420,0.154000,26866862,0.242000
1501000,33360307,0.165000,28931049,0.256000
1601000,36225100,0.176000,31001823,0.274000
1701000,39153833,0.185000,33088035,0.289000
1801000,42163253,0.195000,35176875,0.311000
1901000,45238031,0.210000,37270908,0.328000
2001000,48406400,0.218000,39369598,0.343000
2101000,51641137,0.233000,41472350,0.360000
2201000,54956787,0.242000,43611229,0.379000
2301000,58329489,0.255000,45753126,0.399000
2401000,56010370,0.265000,47897989,0.417000
2501000,55600447,0.279000,50046450,0.428000
2601000,58354522,0.290000,52197252,0.463000
2701000,61123672,0.329000,54355527,0.487000
2801000,63950857,0.316000,56513487,0.489000
2901000,66801676,0.328000,58678225,0.507000
3001000,69702742,0.340000,60840725,0.534000
3101000,72646351,0.351000,63007473,0.537000
3201000,75615448,0.356000,65185466,0.581000
3301000,78638422,0.392000,67371024,0.606000
3401000,81666155,0.391000,69556989,0.621000
3501000,84754262,0.406000,71746715,0.645000
3601000,87891831,0.418000,73934290,0.657000
3701000,91073300,0.479000,76126927,0.690000
3801000,94251195,0.453000,78322890,0.695000
3901000,97496772,0.452000,80521648,0.707000
4001000,100774629,0.466000,82720037,0.724000
4101000,104088967,0.471000,84918240,0.756000
4201000,107423463,0.483000,87122099,0.728000
4301000,110822323,0.480000,89359869,0.752000
4401000,114257742,0.489000,91602277,0.769000
4501000,117761709,0.522000,93842115,0.819000
4601000,121240154,0.530000,96086625,0.815000
4701000,124795177,0.545000,98327920,0.834000
4801000,116931284,0.553000,100573923,0.842000
4901000,113389621,0.688000,102825673,1.513000
5001000,116192257,0.931000,105074577,1.561000
5101000,119031150,0.866000,107322232,1.611000
5201000,121878759,0.934000,109570832,1.641000
5301000,124754236,0.985000,111828061,1.654000
5401000,127641201,0.960000,114088412,1.505000
5501000,130519403,0.953000,116348044,1.640000
5601000,133490327,1.050000,118610420,1.704000
5701000,136424925,1.033000,120872087,1.774000
5801000,139382751,1.076000,123134472,1.777000
5901000,142379502,1.031000,125401440,1.846000
6001000,145383771,1.078000,127664079,1.895000
6101000,148417697,1.082000,129929643,1.964000
6201000,151448752,1.125000,132195656,1.967000
6301000,154513557,1.139000,134465381,1.960000
6401000,157592962,1.140000,136749536,1.990000
6501000,160702524,1.138000,139036665,2.027000
6601000,163812132,1.148000,141321561,2.074000
6701000,166971336,1.195000,143607628,2.175000
6801000,170104468,1.178000,145891732,2.192000
6901000,173308790,1.296000,148181903,2.199000
7001000,176486217,1.192000,150472219,2.309000
7101000,179690044,1.283000,152756331,2.261000
7201000,182949702,1.294000,155049115,2.176000
7301000,186191476,1.309000,157338681,2.321000
7401000,189474671,1.273000,159629541,2.387000
7501000,192767584,1.286000,161929806,2.414000
7601000,196074396,1.391000,164224616,2.434000
7701000,199434895,1.355000,166522011,3.170000
7801000,202772903,1.582000,168819754,1.897000
7901000,206124160,0.914000,171117263,1.419000
8001000,209491055,0.928000,173416301,1.470000
8101000,212900012,0.938000,175716234,1.462000
8201000,216332927,0.946000,178011875,1.487000
8301000,219791899,1.045000,180313878,1.614000
8401000,223246160,1.014000,182621771,1.523000
8501000,226725928,1.013000,184960904,1.544000
8601000,230259829,1.006000,187298402,1.986000
8701000,233762813,1.669000,189642857,2.846000
8801000,237301536,1.643000,191981823,2.754000
8901000,240851139,1.640000,194323145,2.865000
9001000,244448379,1.614000,196668688,2.861000
9101000,248042144,1.639000,199003818,3.046000
9201000,251646480,1.702000,201352039,2.991000
9301000,255293073,1.692000,203692244,2.936000
9401000,258941055,1.715000,206039147,2.927000
9501000,253785824,1.699000,208385366,3.077000
9601000,243586006,1.711000,210730787,3.008000
9701000,233626951,1.769000,213076876,3.060000
9801000,236532153,1.856000,215427630,3.018000
9901000,239443346,1.808000,217771634,3.117000
