E,V,comparisons
1000,1000,2082
2000,1000,5207
3000,1000,8578
4000,1000,12616
5000,1000,16997
6000,1000,21210
7000,1000,25676
8000,1000,31195
9000,1000,35614
10000,1000,39995
11000,1000,45349
12000,1000,51070
13000,1000,55168
14000,1000,60764
15000,1000,66097
16000,1000,70021
17000,1000,74007
18000,1000,79022
19000,1000,84916
20000,1000,90589
21000,1000,95922
22000,1000,101030
23000,1000,104837
24000,1000,109805
25000,1000,116465
26000,1000,119273
27000,1000,126730
28000,1000,128955
29000,1000,136622
30000,1000,141946
31000,1000,150808
32000,1000,150219
33000,1000,162564
34000,1000,158290
35000,1000,165049
36000,1000,172962
37000,1000,181739
38000,1000,183600
39000,1000,187219
40000,1000,194253
41000,1000,201010
42000,1000,198635
43000,1000,206059
44000,1000,209163
45000,1000,218243
46000,1000,224916
47000,1000,231496
48000,1000,228797
49000,1000,239647
50000,1000,249126
51000,1000,246791
52000,1000,260231
53000,1000,254507
54000,1000,262717
55000,1000,276825
56000,1000,277081
57000,1000,287859
58000,1000,298331
59000,1000,291115
60000,1000,304421
61000,1000,307467
62000,1000,312685
63000,1000,326425
64000,1000,321437
65000,1000,324970
66000,1000,338025
67000,1000,341101
68000,1000,337744
69000,1000,342124
70000,1000,355883
71000,1000,355065
72000,1000,364111
73000,1000,364666
74000,1000,380840
75000,1000,372685
76000,1000,391572
77000,1000,395547
78000,1000,381914
79000,1000,400724
80000,1000,400398
81000,1000,409144
82000,1000,407969
83000,1000,423310
84000,1000,430443
85000,1000,419978
86000,1000,426950
87000,1000,434648
88000,1000,437907
89000,1000,458914
90000,1000,453823
91000,1000,474631
92000,1000,455536
93000,1000,459396
94000,1000,460415
95000,1000,479801
96000,1000,495118
97000,1000,491373
98000,1000,489861
99000,1000,503036
100000,1000,508535
101000,1000,507975
102000,1000,525041
103000,1000,506822
104000,1000,513824
105000,1000,533029
106000,1000,521007
107000,1000,535234
108000,1000,531536
109000,1000,537761
110000,1000,545049
111000,1000,549600
112000,1000,562586
113000,1000,569323
114000,1000,562332
115000,1000,585836
116000,1000,579644
117000,1000,577042
118000,1000,614603
119000,1000,603389
120000,1000,609897
121000,1000,602096
122000,1000,629729
123000,1000,607368
124000,1000,619936
125000,1000,633336
126000,1000,628621
127000,1000,636973
128000,1000,642948
129000,1000,649238
130000,1000,658089
131000,1000,678879
132000,1000,670707
133000,1000,678954
134000,1000,671596
135000,1000,693699
136000,1000,678109
137000,1000,672713
138000,1000,693351
139000,1000,702639
140000,1000,718358
141000,1000,715153
142000,1000,730684
143000,1000,729772
144000,1000,733142
145000,1000,744103
146000,1000,761377
147000,1000,778096
148000,1000,740067
149000,1000,755484
150000,1000,754804
151000,1000,770043
152000,1000,749356
153000,1000,771076
154000,1000,770462
155000,1000,806964
156000,1000,804133
157000,1000,796036
158000,1000,821007
159000,1000,819938
160000,1000,821437
161000,1000,844257
162000,1000,833075
163000,1000,857136
164000,1000,859731
165000,1000,848601
166000,1000,869107
167000,1000,872727
168000,1000,860549
169000,1000,889843
170000,1000,872280
171000,1000,902957
172000,1000,887152
173000,1000,895209
174000,1000,882573
175000,1000,906775
176000,1000,906060
177000,1000,927719
178000,1000,938757
179000,1000,921146
180000,1000,924195
181000,1000,931999
182000,1000,944217
183000,1000,942108
184000,1000,975643
185000,1000,962722
186000,1000,988861
187000,1000,994229
188000,1000,1005129
189000,1000,986794
190000,1000,1004227
191000,1000,1018477
192000,1000,993737
193000,1000,1026470
194000,1000,1010613
195000,1000,1015834
196000,1000,1027335
197000,1000,1033432
198000,1000,1021619
199000,1000,1068972
200000,1000,1004436
201000,1000,1072426
202000,1000,1058343
203000,1000,1082690
204000,1000,1073758
205000,1000,1117647
206000,1000,1061614
207000,1000,1081259
208000,1000,1087021
209000,1000,1107603
210000,1000,1128603
211000,1000,1120962
212000,1000,1123964
213000,1000,1153041
214000,1000,1128659
215000,1000,1142318
216000,1000,1151001
217000,1000,1157660
218000,1000,1135494
219000,1000,1198039
220000,1000,1155423
221000,1000,1162962
222000,1000,1201588
223000,1000,1205539
224000,1000,1195688
225000,1000,1185077
226000,1000,1259175
227000,1000,1198147
228000,1000,1207764
229000,1000,1214907
230000,1000,1262251
231000,1000,1238222
232000,1000,1267267
233000,1000,1270622
234000,1000,1260917
235000,1000,1246571
236000,1000,1240244
237000,1000,1276772
238000,1000,1308017
239000,1000,1314463
240000,1000,1282576
241000,1000,1304069
242000,1000,1306930
243000,1000,1313012
244000,1000,1318409
245000,1000,1326952
246000,1000,1350224
247000,1000,1353512
248000,1000,1326247
249000,1000,1351086
250000,1000,1367818
251000,1000,1381308
252000,1000,1395718
253000,1000,1335728
254000,1000,1382467
255000,1000,1409699
256000,1000,1386354
257000,1000,1391838
258000,1000,1396196
259000,1000,1438268
260000,1000,1423662
261000,1000,1416144
262000,1000,1425378
263000,1000,1430921
264000,1000,1447057
265000,1000,1462254
266000,1000,1420517
267000,1000,1440887
268000,1000,1494798
269000,1000,1439068
270000,1000,1472896
271000,1000,1469593
272000,1000,1473118
273000,1000,1496164
274000,1000,1483504
275000,1000,1485188
276000,1000,1489410
277000,1000,1537052
278000,1000,1487347
279000,1000,1492094
280000,1000,1511619
281000,1000,1525937
282000,1000,1553340
283000,1000,1536200
284000,1000,1532628
285000,1000,1528237
286000,1000,1556538
