Edges,Comparisons
10000,1998000
20000,1998000
30000,1998000
40000,1998000
50000,1998000
60000,1998000
70000,1998000
80000,1998000
90000,1998000
100000,1998000
110000,1998000
120000,1998000
130000,1998000
140000,1998000
150000,1998000
160000,1998000
170000,1998000
180000,1998000
190000,1998000
200000,1998000
210000,1998000
220000,1998000
230000,1998000
240000,1998000
250000,1998000
260000,1998000
270000,1998000
280000,1998000
290000,1998000
300000,1998000
310000,1998000
320000,1998000
330000,1998000
340000,1998000
350000,1998000
360000,1998000
370000,1998000
380000,1998000
390000,1998000
400000,1998000
410000,1998000
420000,1998000
430000,1998000
440000,1998000
450000,1998000
