Vertices,Comparisons
100,19800
200,79600
300,179400
400,319200
500,499000
600,718800
700,978600
800,1278400
900,1618200
1000,1998000
1100,2417800
1200,2877600
1300,3377400
1400,3917200
1500,4497000
1600,5116800
1700,5776600
1800,6476400
1900,7216200
2000,7996000
2100,8815800
2200,9675600
2300,10575400
2400,11515200
2500,12495000
2600,13514800
2700,14574600
2800,15674400
2900,16814200
3000,17994000
3100,19213800
3200,20473600
3300,21773400
3400,23113200
3500,24493000
3600,25912800
3700,27372600
3800,28872400
3900,30412200
4000,31992000
4100,33611800
4200,35271600
4300,36971400
4400,38711200
4500,40491000
4600,42310800
4700,44170600
4800,46070400
4900,48010200
5000,49990000
