|V|,Key Comparisons
1000,505958
2000,517787
3000,533957
4000,552339
5000,557450
6000,590510
7000,596294
8000,626902
9000,648473
10000,664195
11000,689484
12000,723192
13000,745615
14000,775315
15000,794934
16000,821766
17000,853907
18000,885070
19000,915667
20000,950629
21000,977543
22000,1010501
23000,1042778
24000,1069079
25000,1103675
26000,1134915
27000,1159999
28000,1192217
29000,1224509
30000,1255609
31000,1286002
32000,1317664
33000,1351665
34000,1393531
35000,1419179
36000,1429979
37000,1438490
38000,1442793
39000,1449458
40000,1457543
41000,1463499
42000,1469486
43000,1472481
44000,1475553
45000,1480824
46000,1484759
47000,1487069
48000,1490703
49000,1493689
50000,1496459
51000,1500396
52000,1503726
53000,1506756
54000,1509934
55000,1512801
56000,1515495
57000,1518637
58000,1521144
59000,1523762
60000,1526430
61000,1528918
62000,1530990
63000,1532634
64000,1534634
65000,1536634
66000,1538634
67000,1540634
68000,1542634
69000,1544513
70000,1546513
71000,1548513
72000,1550513
73000,1552513
74000,1554513
75000,1556797
76000,1558797
77000,1560797
78000,1562797
79000,1564797
80000,1566569
81000,1568569
82000,1570569
83000,1572569
84000,1574569
85000,1576569
86000,1578571
87000,1580571
88000,1582571
89000,1584571
90000,1586571
91000,1588571
92000,1590440
93000,1592440
94000,1594440
95000,1596440
96000,1598440
97000,1601334
98000,1603334
99000,1605334
100000,1607334
101000,1609334
102000,1611334
103000,1612498
104000,1614498
105000,1616498
106000,1618498
107000,1620498
108000,1622498
109000,1624836
110000,1626836
111000,1628836
112000,1630836
113000,1632836
114000,1634888
115000,1636888
116000,1638888
117000,1640888
118000,1642888
119000,1644888
120000,1646531
121000,1648531
122000,1650531
123000,1652531
124000,1654531
125000,1656620
126000,1658620
127000,1660620
128000,1662620
129000,1664620
130000,1666620
131000,1668685
132000,1670685
133000,1672685
134000,1674685
135000,1676685
136000,1678821
137000,1680821
138000,1682821
139000,1684821
140000,1686821
141000,1688821
142000,1690579
143000,1692579
144000,1694579
145000,1696579
146000,1698579
147000,1700579
148000,1702824
149000,1704824
150000,1706824
151000,1708824
152000,1710824
153000,1712834
154000,1714834
155000,1716834
156000,1718834
157000,1720834
158000,1722834
159000,1724990
160000,1726990
161000,1728990
162000,1730990
163000,1732990
164000,1735014
165000,1737014
166000,1739014
167000,1741014
168000,1743014
169000,1745014
170000,1746580
171000,1748580
172000,1750580
173000,1752580
174000,1754580
175000,1756687
176000,1758687
177000,1760687
178000,1762687
179000,1764687
180000,1766386
181000,1768386
182000,1770386
183000,1772386
184000,1774386
185000,1776937
186000,1778937
187000,1780937
188000,1782937
189000,1784937
190000,1786937
191000,1788488
192000,1790488
193000,1792488
194000,1794488
195000,1796488
196000,1799136
197000,1801136
198000,1803136
199000,1805136
200000,1807136
201000,1808707
202000,1810707
203000,1812707
204000,1814707
205000,1816707
206000,1818913
207000,1820913
208000,1822913
209000,1824913
210000,1826913
211000,1828492
212000,1830492
213000,1832492
214000,1834492
215000,1836528
216000,1838528
217000,1840528
218000,1842528
219000,1844528
220000,1846704
221000,1848704
222000,1850704
223000,1852704
224000,1855241
225000,1857241
226000,1859241
227000,1861241
228000,1863241
229000,1865088
230000,1867088
231000,1869088
232000,1871088
233000,1873088
234000,1875007
235000,1877007
236000,1879007
237000,1881007
238000,1883007
239000,1884812
240000,1886812
241000,1888812
242000,1890812
243000,1892812
244000,1894842
245000,1896842
246000,1898842
247000,1900842
248000,1902842
249000,1904933
250000,1906933
251000,1908933
252000,1910933
253000,1912933
254000,1914572
255000,1916572
256000,1918572
257000,1920572
258000,1922572
259000,1924742
260000,1926742
261000,1928742
262000,1930742
263000,1932742
264000,1934974
265000,1936974
266000,1938974
267000,1940974
268000,1942656
269000,1944656
270000,1946656
271000,1948656
272000,1950656
273000,1953359
274000,1955359
275000,1957359
276000,1959359
277000,1961359
278000,1962799
279000,1964799
280000,1966799
281000,1968799
282000,1971140
283000,1973140
284000,1975140
285000,1977140
286000,1979140
287000,1980662
288000,1982662
289000,1984662
290000,1986662
291000,1988302
292000,1990302
293000,1992302
294000,1994302
295000,1996302
296000,1999019
297000,2001019
298000,2003019
299000,2005019
300000,2007019
301000,2008407
302000,2010407
303000,2012407
304000,2014407
305000,2016407
306000,2018453
307000,2020453
308000,2022453
309000,2024453
310000,2026453
311000,2028596
312000,2030596
313000,2032596
314000,2034596
315000,2036596
316000,2038652
317000,2040652
318000,2042652
319000,2044652
320000,2046797
321000,2048797
322000,2050797
323000,2052797
324000,2054797
325000,2056610
326000,2058610
327000,2060610
328000,2062610
329000,2064692
330000,2066692
331000,2068692
332000,2070692
333000,2072692
334000,2074806
335000,2076806
336000,2078806
337000,2080806
338000,2082806
339000,2084319
340000,2086319
341000,2088319
342000,2090319
343000,2092319
344000,2094679
345000,2096679
346000,2098679
347000,2100679
348000,2102679
349000,2104669
350000,2106669
351000,2108669
352000,2110669
353000,2112711
354000,2114711
355000,2116711
356000,2118711
357000,2120711
358000,2122877
359000,2124877
360000,2126877
361000,2128877
362000,2130877
363000,2132401
364000,2134401
365000,2136401
366000,2138401
367000,2140401
368000,2142853
369000,2144853
370000,2146853
371000,2148853
372000,2150649
373000,2152649
374000,2154649
375000,2156649
376000,2158649
377000,2160848
378000,2162848
379000,2164848
380000,2166848
381000,2168848
382000,2171138
383000,2173138
384000,2175138
385000,2177138
386000,2178688
387000,2180688
388000,2182688
389000,2184688
390000,2186688
391000,2188667
392000,2190667
393000,2192667
394000,2194667
395000,2196667
396000,2198600
397000,2200600
398000,2202600
399000,2204600
400000,2206417
401000,2208417
402000,2210417
403000,2212417
404000,2214417
405000,2216646
406000,2218646
407000,2220646
408000,2222646
409000,2224472
410000,2226472
411000,2228472
412000,2230472
413000,2232472
414000,2234856
415000,2236856
416000,2238856
417000,2240856
418000,2242910
419000,2244910
420000,2246910
421000,2248910
422000,2250710
423000,2252710
424000,2254710
425000,2256710
426000,2258710
427000,2260790
428000,2262790
429000,2264790
430000,2266790
431000,2269192
432000,2271192
433000,2273192
434000,2275192
435000,2276974
436000,2278974
437000,2280974
438000,2283172
439000,2285172
440000,2287172
441000,2289172
442000,2291172
443000,2293071
444000,2295071
445000,2297071
446000,2298580
447000,2300580
448000,2302580
449000,2304580
450000,2307029
451000,2309029
452000,2311029
453000,2313029
454000,2314659
455000,2316659
456000,2318659
457000,2320659
458000,2322444
459000,2324444
460000,2326444
461000,2328444
462000,2330883
463000,2332883
464000,2334883
465000,2336883
466000,2338912
467000,2340912
468000,2342912
469000,2344912
470000,2347201
471000,2349201
472000,2351201
473000,2353201
474000,2355253
475000,2357253
476000,2359253
477000,2361253
478000,2362750
479000,2364750
480000,2366750
481000,2368805
482000,2370805
483000,2372805
484000,2374805
485000,2376805
486000,2378725
487000,2380725
488000,2382725
489000,2384725
490000,2386842
491000,2388842
492000,2390842
493000,2392842
494000,2394842
495000,2397076
496000,2399076
497000,2401076
498000,2403076
499000,2404492
