|E|,Key Comparisons
1000,2997
2000,14975
3000,19233
4000,21316
5000,22442
6000,23490
7000,24616
8000,25469
9000,26491
10000,27492
11000,28175
12000,29177
13000,29956
14000,30821
15000,31696
16000,32592
17000,33593
18000,34328
19000,35295
20000,35829
21000,36712
22000,37559
23000,38194
24000,38990
25000,39874
26000,40819
27000,41624
28000,42714
29000,43339
30000,44171
31000,45022
32000,46250
33000,46975
34000,48029
35000,49078
36000,49803
37000,50800
38000,51864
39000,52719
40000,53555
41000,54535
42000,55596
43000,56354
44000,57343
45000,58165
46000,59036
47000,60081
48000,61152
49000,61685
50000,62713
51000,63563
52000,64556
53000,65461
54000,66183
55000,66995
56000,67911
57000,68870
58000,69864
59000,70980
60000,71823
61000,72792
62000,73718
63000,74640
64000,75675
65000,76652
66000,77696
67000,78809
68000,79941
69000,80820
70000,81876
71000,82798
72000,83832
73000,84931
74000,85939
75000,86617
76000,87706
77000,88689
78000,89648
79000,90633
80000,91523
81000,92446
82000,93584
83000,94545
84000,95369
85000,96461
86000,97303
87000,98279
88000,99245
89000,100380
90000,101408
91000,102470
92000,103511
93000,104513
94000,105485
95000,106555
96000,107570
97000,108566
98000,109582
99000,110528
100000,111538
101000,112544
102000,113578
103000,114542
104000,115639
105000,116575
106000,117627
107000,118542
108000,119488
109000,120306
110000,121209
111000,122255
112000,123250
113000,124262
114000,125288
115000,126238
116000,127227
117000,128240
118000,128951
119000,129927
120000,131020
121000,131937
122000,132835
123000,133831
124000,134802
125000,135110
126000,136099
127000,137031
128000,138014
129000,139018
130000,139954
131000,140797
132000,141723
133000,142574
134000,143605
135000,144103
136000,145043
137000,145981
138000,146797
139000,147797
140000,148807
141000,149801
142000,150761
143000,151619
144000,152520
145000,153441
146000,154347
147000,155355
148000,156282
149000,157273
150000,158141
151000,159066
152000,160050
153000,161048
154000,161959
155000,162936
156000,164245
157000,165265
158000,166283
159000,167303
160000,168266
161000,169344
162000,170268
163000,171298
164000,172325
165000,173364
166000,174367
167000,175396
168000,176404
169000,177357
170000,178395
171000,179390
172000,180388
173000,181391
174000,182407
175000,183435
176000,184493
177000,185524
178000,186763
179000,187786
180000,188793
181000,188728
182000,189718
183000,190696
184000,191687
185000,192700
186000,193732
187000,194838
188000,195900
189000,196903
190000,197961
191000,198968
192000,200156
193000,201190
194000,202252
195000,203219
196000,204261
197000,205238
198000,206241
199000,207262
200000,208281
201000,209286
202000,210463
203000,211492
204000,213424
205000,214422
206000,215422
207000,216455
208000,217447
209000,218556
210000,219536
211000,220579
212000,221562
213000,222566
214000,223597
215000,224633
216000,225656
217000,226679
218000,227675
219000,228712
220000,229703
221000,230722
222000,231714
223000,232761
224000,233764
225000,234349
226000,235388
227000,236440
228000,237449
229000,238441
230000,239439
231000,240436
232000,241496
233000,242514
234000,243510
235000,244569
236000,245533
237000,246516
238000,247909
239000,248920
240000,249908
241000,250923
242000,251900
243000,250671
244000,251661
245000,252668
246000,253643
247000,254631
248000,255642
249000,256641
250000,257729
251000,258732
252000,260052
253000,261207
254000,262217
255000,263251
256000,264262
257000,265479
258000,266561
259000,267587
260000,271033
261000,272031
262000,273024
263000,274036
264000,275037
265000,276029
266000,276958
267000,277975
268000,278966
269000,279974
270000,280968
271000,281955
272000,282969
273000,283923
274000,284973
275000,285949
276000,286192
277000,287241
278000,288262
279000,289248
280000,290301
281000,291343
282000,292341
283000,293358
284000,294387
285000,295440
286000,296433
287000,297432
288000,298545
289000,299587
290000,300555
291000,301607
292000,302583
293000,303554
294000,304555
295000,305554
296000,306589
297000,307588
298000,308592
299000,309644
300000,310622
301000,311549
302000,312540
303000,313568
304000,314552
305000,315517
306000,316210
307000,317231
308000,318228
309000,319289
310000,320289
311000,321279
312000,322275
313000,323254
314000,324223
315000,325252
316000,326245
317000,327215
318000,328233
319000,329493
320000,330586
321000,331598
322000,332563
323000,333527
324000,334465
325000,335452
326000,336417
327000,337416
328000,338433
329000,339437
330000,340474
331000,341434
332000,342362
333000,343329
334000,344367
335000,345365
336000,346180
337000,347196
338000,348179
339000,349178
340000,350144
341000,351108
342000,352111
343000,353109
344000,354109
345000,355015
346000,356032
347000,356962
348000,358014
349000,359008
350000,360017
351000,361017
352000,361989
353000,362964
354000,363959
355000,364960
356000,365944
357000,366272
358000,367227
359000,368180
360000,369178
361000,370202
362000,371198
363000,372201
364000,373159
365000,374158
366000,374912
367000,375906
368000,377586
369000,378534
370000,379509
371000,380545
372000,381545
373000,382507
374000,383470
375000,384469
376000,385490
377000,386323
378000,387302
379000,388268
380000,390297
381000,391265
382000,392263
383000,393229
384000,394227
385000,395173
386000,396160
387000,397097
388000,397935
389000,398935
390000,399906
391000,399856
392000,400849
393000,401786
394000,402695
395000,403645
396000,404683
397000,405635
398000,406630
399000,407569
400000,408571
401000,409885
402000,410872
403000,411872
404000,412824
405000,413780
406000,414736
407000,415736
408000,416722
409000,417732
410000,418730
411000,420591
412000,421593
413000,422502
414000,423500
415000,424452
416000,425417
417000,426430
418000,427428
419000,428409
420000,429408
421000,430316
422000,431317
423000,432341
424000,433247
425000,434223
426000,435195
427000,436070
428000,437073
429000,438043
430000,439300
431000,440281
432000,441280
433000,442271
434000,443269
435000,444267
436000,445267
437000,446269
438000,447246
439000,448182
440000,449281
441000,450326
442000,451318
443000,452317
444000,453283
445000,454234
446000,455239
447000,456183
448000,456006
449000,456977
450000,457960
451000,458983
452000,459981
453000,460980
454000,461982
455000,462887
456000,463888
457000,464398
458000,465375
459000,466382
460000,467150
461000,468170
462000,469098
463000,470103
464000,471069
465000,472002
466000,472930
467000,473938
468000,474937
469000,475928
470000,476922
471000,477897
472000,478897
473000,480409
474000,481413
475000,482368
476000,483361
477000,484353
478000,485351
479000,486346
480000,487317
481000,489531
482000,490539
483000,491530
484000,492532
485000,493512
486000,494530
487000,495506
488000,496488
489000,497478
490000,498813
491000,499837
492000,500784
493000,501774
494000,502773
495000,503753
496000,504776
497000,503252
498000,504249
499000,505241
500000,506240
501000,507237
502000,508214
503000,509212
504000,510198
505000,512685
506000,513687
507000,514689
508000,515708
509000,516635
510000,517638
511000,518613
512000,519598
513000,519503
514000,520471
515000,521468
516000,522448
517000,523461
518000,524471
519000,525470
520000,527887
521000,528831
522000,529831
523000,530829
524000,531827
525000,532610
526000,533508
527000,533062
528000,534066
529000,535026
530000,536023
531000,537022
532000,537815
533000,538759
534000,539748
535000,541427
536000,542430
537000,543426
538000,544437
539000,545392
540000,546377
541000,547334
542000,548486
543000,549483
544000,550472
545000,551471
546000,552490
547000,553496
548000,554494
549000,554416
550000,555400
551000,556070
552000,557061
553000,558047
554000,559096
555000,560034
556000,561768
557000,562766
558000,563763
559000,564759
560000,565758
561000,566746
562000,567743
563000,568484
564000,569483
565000,570498
566000,571559
567000,572562
568000,573551
569000,574691
570000,575694
571000,576690
572000,577690
573000,578687
574000,579631
575000,580635
576000,582618
577000,583615
578000,584618
579000,585554
580000,586549
581000,587559
582000,587128
583000,588138
584000,589136
585000,590130
586000,591135
587000,591998
588000,593013
589000,594842
590000,595822
591000,596826
592000,597822
593000,598690
594000,599684
595000,600371
596000,601374
597000,602295
598000,603296
599000,604291
600000,605288
601000,606729
602000,607723
603000,608726
604000,609676
605000,610643
606000,611586
607000,611781
608000,612775
609000,613772
610000,614771
611000,615769
612000,616758
613000,617756
614000,619321
615000,620298
616000,621338
617000,622265
618000,623262
619000,624418
620000,625427
621000,626401
622000,627397
623000,628362
624000,629376
625000,629835
626000,630798
627000,631802
628000,632795
629000,633795
630000,634792
631000,636371
632000,637357
633000,638357
634000,639351
635000,640219
636000,641220
637000,642148
638000,643147
639000,644152
640000,645169
641000,646170
642000,647174
643000,647597
644000,648577
645000,649576
646000,650489
647000,651511
648000,652502
649000,653510
650000,654510
651000,655508
652000,656490
653000,657475
654000,658650
655000,659544
656000,660533
657000,661533
658000,662531
659000,663495
660000,664494
661000,665478
662000,666494
663000,667490
664000,668496
665000,669485
666000,670488
667000,671482
668000,672484
669000,673487
670000,674546
671000,675560
672000,676553
673000,677543
674000,678559
675000,679562
676000,680587
677000,681587
678000,682586
679000,683576
680000,684576
681000,685430
682000,686428
683000,687429
684000,688461
685000,689451
686000,690533
687000,691535
688000,692535
689000,693518
690000,694567
691000,695566
692000,696359
693000,697354
694000,698339
695000,699332
696000,700330
697000,701334
698000,702335
699000,703333
700000,704333
701000,705337
702000,706488
703000,707490
704000,708488
705000,709487
706000,710395
707000,711658
708000,712656
709000,713655
710000,714653
711000,715665
712000,716348
713000,717325
714000,718325
715000,719315
716000,720318
717000,721534
718000,722572
719000,723560
720000,724559
721000,725559
722000,726539
723000,727455
724000,728453
725000,729326
726000,730319
727000,731314
728000,732313
729000,733315
730000,734315
731000,735315
732000,736447
733000,737447
734000,738460
735000,739460
736000,740464
737000,741197
738000,742191
739000,743192
740000,744192
741000,745035
742000,746050
743000,747019
744000,748025
745000,749022
746000,750292
747000,751286
748000,752275
749000,753276
750000,754275
751000,755394
752000,756426
753000,757425
754000,758413
755000,759114
756000,760107
757000,761106
758000,762105
759000,763110
760000,764359
761000,765356
762000,766350
763000,767354
764000,768346
765000,769093
766000,770111
767000,771111
768000,772108
769000,773211
770000,774220
771000,775216
772000,776213
773000,777212
774000,778146
775000,779143
776000,780149
777000,781151
778000,782148
779000,783438
780000,784465
781000,785465
782000,786426
783000,787288
784000,788270
785000,789269
786000,790268
787000,791367
788000,792342
789000,793348
790000,794346
791000,795103
792000,796100
793000,797114
794000,798113
795000,799004
796000,800049
797000,801049
798000,802052
799000,803146
800000,804136
801000,805139
802000,806138
803000,807354
804000,808354
805000,809353
806000,810354
807000,811168
808000,812167
809000,813168
810000,814175
811000,815000
812000,816061
813000,817061
814000,818060
815000,819263
816000,820258
817000,821262
818000,822262
819000,823103
820000,824108
821000,825110
822000,826107
823000,827134
824000,828226
825000,829226
826000,830228
827000,831177
828000,832254
829000,833249
830000,834243
831000,835239
832000,836000
833000,837001
834000,837997
835000,839200
836000,840200
837000,841208
838000,842207
839000,843117
840000,844078
841000,845072
842000,846092
843000,847088
844000,848088
845000,849084
846000,850145
847000,851162
848000,852157
849000,853156
850000,854208
851000,855207
852000,856212
853000,857208
854000,858097
855000,859095
856000,860099
857000,861101
858000,862154
859000,863147
860000,864156
861000,865198
862000,866198
863000,867202
864000,868201
865000,869050
866000,870047
867000,871049
868000,872050
869000,873044
870000,874043
871000,875041
872000,876053
873000,877109
874000,878112
875000,879104
876000,880104
877000,881068
878000,882067
